Training Details:
Episode 292: Reward -43.30, Steps 1440, Epsilon 0.41
Episode 293: Reward -45.58, Steps 1440, Epsilon 0.41
Episode 294: Reward -45.31, Steps 1440, Epsilon 0.41
Episode 295: Reward -46.42, Steps 1440, Epsilon 0.41
Episode 296: Reward -40.79, Steps 1440, Epsilon 0.40
Episode 297: Reward -44.25, Steps 1440, Epsilon 0.40
Episode 298: Reward -43.19, Steps 1440, Epsilon 0.40
Episode 299: Reward -45.33, Steps 1440, Epsilon 0.40
Episode 300: Reward -41.15, Steps 1440, Epsilon 0.40
Episode 301: Reward -44.11, Steps 1440, Epsilon 0.40
Episode 302: Reward -44.75, Steps 1440, Epsilon 0.40
Episode 303: Reward -38.07, Steps 1440, Epsilon 0.40
Episode 304: Reward -41.21, Steps 1440, Epsilon 0.39
Episode 305: Reward -43.59, Steps 1440, Epsilon 0.39
Episode 306: Reward -45.51, Steps 1440, Epsilon 0.39
Episode 307: Reward -43.43, Steps 1440, Epsilon 0.39
Episode 308: Reward -44.88, Steps 1440, Epsilon 0.39
Episode 309: Reward -41.49, Steps 1440, Epsilon 0.39
Episode 310: Reward -45.42, Steps 1440, Epsilon 0.39
Episode 311: Reward -42.48, Steps 1440, Epsilon 0.39
Episode 312: Reward -43.41, Steps 1440, Epsilon 0.39
Episode 313: Reward -40.78, Steps 1440, Epsilon 0.38
Episode 314: Reward -43.79, Steps 1440, Epsilon 0.38
Episode 315: Reward -41.90, Steps 1440, Epsilon 0.38
Episode 316: Reward -41.13, Steps 1440, Epsilon 0.38
Episode 317: Reward -42.80, Steps 1440, Epsilon 0.38
Episode 318: Reward -41.02, Steps 1440, Epsilon 0.38
Episode 319: Reward -43.78, Steps 1440, Epsilon 0.38
Episode 320: Reward -43.40, Steps 1440, Epsilon 0.38
Episode 321: Reward -42.62, Steps 1440, Epsilon 0.38
Episode 322: Reward -42.17, Steps 1440, Epsilon 0.37
Episode 323: Reward -45.00, Steps 1440, Epsilon 0.37
Episode 324: Reward -42.13, Steps 1440, Epsilon 0.37
Episode 325: Reward -42.67, Steps 1440, Epsilon 0.37
Episode 326: Reward -42.50, Steps 1440, Epsilon 0.37
Episode 327: Reward -40.64, Steps 1440, Epsilon 0.37
Episode 328: Reward -40.49, Steps 1440, Epsilon 0.37
Episode 329: Reward -42.33, Steps 1440, Epsilon 0.37
Episode 330: Reward -44.15, Steps 1440, Epsilon 0.37
Episode 331: Reward -43.10, Steps 1440, Epsilon 0.37
Episode 332: Reward -37.71, Steps 1440, Epsilon 0.36
Episode 333: Reward -41.12, Steps 1440, Epsilon 0.36
Episode 334: Reward -40.98, Steps 1440, Epsilon 0.36
Episode 335: Reward -41.96, Steps 1440, Epsilon 0.36
Episode 336: Reward -40.60, Steps 1440, Epsilon 0.36
Episode 337: Reward -39.53, Steps 1440, Epsilon 0.36
Episode 338: Reward -40.64, Steps 1440, Epsilon 0.36
Episode 339: Reward -40.45, Steps 1440, Epsilon 0.36
Episode 340: Reward -42.13, Steps 1440, Epsilon 0.36
Episode 341: Reward -38.49, Steps 1440, Epsilon 0.35
Episode 342: Reward -41.63, Steps 1440, Epsilon 0.35
Episode 343: Reward -42.60, Steps 1440, Epsilon 0.35
Episode 344: Reward -41.80, Steps 1440, Epsilon 0.35
Episode 345: Reward -41.23, Steps 1440, Epsilon 0.35
Episode 346: Reward -42.49, Steps 1440, Epsilon 0.35
Episode 347: Reward -39.34, Steps 1440, Epsilon 0.35
Episode 348: Reward -39.85, Steps 1440, Epsilon 0.35
Episode 349: Reward -39.86, Steps 1440, Epsilon 0.35
Episode 350: Reward -40.02, Steps 1440, Epsilon 0.35
