Training Details:
Episode 358: Reward -23.73, Steps 288, Epsilon 0.89
Episode 359: Reward -27.97, Steps 288, Epsilon 0.89
Episode 360: Reward -26.60, Steps 288, Epsilon 0.89
Episode 361: Reward -23.36, Steps 288, Epsilon 0.89
Episode 362: Reward -22.23, Steps 288, Epsilon 0.89
Episode 363: Reward -27.36, Steps 288, Epsilon 0.89
Episode 364: Reward -27.54, Steps 288, Epsilon 0.89
Episode 365: Reward -23.87, Steps 288, Epsilon 0.89
Episode 366: Reward -24.74, Steps 288, Epsilon 0.89
Episode 367: Reward -20.98, Steps 288, Epsilon 0.89
Episode 368: Reward -23.26, Steps 288, Epsilon 0.89
Episode 369: Reward -25.05, Steps 288, Epsilon 0.89
Episode 370: Reward -25.30, Steps 288, Epsilon 0.89
Episode 371: Reward -24.42, Steps 288, Epsilon 0.89
Episode 372: Reward -24.96, Steps 288, Epsilon 0.89
Episode 373: Reward -25.13, Steps 288, Epsilon 0.89
Episode 374: Reward -26.27, Steps 288, Epsilon 0.89
Episode 375: Reward -24.11, Steps 288, Epsilon 0.89
Episode 376: Reward -26.13, Steps 288, Epsilon 0.89
Episode 377: Reward -25.93, Steps 288, Epsilon 0.89
Episode 378: Reward -26.97, Steps 288, Epsilon 0.89
Episode 379: Reward -20.55, Steps 288, Epsilon 0.89
Episode 380: Reward -28.97, Steps 288, Epsilon 0.89
Episode 381: Reward -24.43, Steps 288, Epsilon 0.89
Episode 382: Reward -24.61, Steps 288, Epsilon 0.89
Episode 383: Reward -24.70, Steps 288, Epsilon 0.89
Episode 384: Reward -25.52, Steps 288, Epsilon 0.89
Episode 385: Reward -24.80, Steps 288, Epsilon 0.89
Episode 386: Reward -27.30, Steps 288, Epsilon 0.89
Episode 387: Reward -25.58, Steps 288, Epsilon 0.89
Episode 388: Reward -25.17, Steps 288, Epsilon 0.88
Episode 389: Reward -27.72, Steps 288, Epsilon 0.88
Episode 390: Reward -24.23, Steps 288, Epsilon 0.88
Episode 391: Reward -22.89, Steps 288, Epsilon 0.88
Episode 392: Reward -24.13, Steps 288, Epsilon 0.88
Episode 393: Reward -25.09, Steps 288, Epsilon 0.88
Episode 394: Reward -27.24, Steps 288, Epsilon 0.88
Episode 395: Reward -26.15, Steps 288, Epsilon 0.88
Episode 396: Reward -25.82, Steps 288, Epsilon 0.88
Episode 397: Reward -26.78, Steps 288, Epsilon 0.88
Episode 398: Reward -24.10, Steps 288, Epsilon 0.88
Episode 399: Reward -25.41, Steps 288, Epsilon 0.88
Episode 400: Reward -25.76, Steps 288, Epsilon 0.88
Episode 401: Reward -26.39, Steps 288, Epsilon 0.88
Episode 402: Reward -24.56, Steps 288, Epsilon 0.88
Episode 403: Reward -27.32, Steps 288, Epsilon 0.88
Episode 404: Reward -23.25, Steps 288, Epsilon 0.88
Episode 405: Reward -22.93, Steps 288, Epsilon 0.88
Episode 406: Reward -27.44, Steps 288, Epsilon 0.88
Episode 407: Reward -23.49, Steps 288, Epsilon 0.88
Episode 408: Reward -23.86, Steps 288, Epsilon 0.88
Episode 409: Reward -26.76, Steps 288, Epsilon 0.88
Episode 410: Reward -25.81, Steps 288, Epsilon 0.88
Episode 411: Reward -24.01, Steps 288, Epsilon 0.88
Episode 412: Reward -27.03, Steps 288, Epsilon 0.88
Episode 413: Reward -28.88, Steps 288, Epsilon 0.88
Episode 414: Reward -26.23, Steps 288, Epsilon 0.88
Episode 415: Reward -24.38, Steps 288, Epsilon 0.88
Episode 416: Reward -26.99, Steps 288, Epsilon 0.88
Episode 417: Reward -24.37, Steps 288, Epsilon 0.88
Episode 418: Reward -24.53, Steps 288, Epsilon 0.88
Episode 419: Reward -27.27, Steps 288, Epsilon 0.88
Episode 420: Reward -24.47, Steps 288, Epsilon 0.88
Episode 421: Reward -24.67, Steps 288, Epsilon 0.88
Episode 422: Reward -26.60, Steps 288, Epsilon 0.88
Episode 423: Reward -25.09, Steps 288, Epsilon 0.88
Episode 424: Reward -26.08, Steps 288, Epsilon 0.87
Episode 425: Reward -26.29, Steps 288, Epsilon 0.87
Episode 426: Reward -23.33, Steps 288, Epsilon 0.87
Episode 427: Reward -25.20, Steps 288, Epsilon 0.87
Episode 428: Reward -26.29, Steps 288, Epsilon 0.87
Episode 429: Reward -27.05, Steps 288, Epsilon 0.87
Episode 430: Reward -26.77, Steps 288, Epsilon 0.87
Episode 431: Reward -25.84, Steps 288, Epsilon 0.87
Episode 432: Reward -23.68, Steps 288, Epsilon 0.87
Episode 433: Reward -26.57, Steps 288, Epsilon 0.87
Episode 434: Reward -23.37, Steps 288, Epsilon 0.87
Episode 435: Reward -25.55, Steps 288, Epsilon 0.87
Episode 436: Reward -26.89, Steps 288, Epsilon 0.87
Episode 437: Reward -25.42, Steps 288, Epsilon 0.87
Episode 438: Reward -26.16, Steps 288, Epsilon 0.87
Episode 439: Reward -25.79, Steps 288, Epsilon 0.87
Episode 440: Reward -27.50, Steps 288, Epsilon 0.87
Episode 441: Reward -23.12, Steps 288, Epsilon 0.87
Episode 442: Reward -24.53, Steps 288, Epsilon 0.87
Episode 443: Reward -24.78, Steps 288, Epsilon 0.87
Episode 444: Reward -24.93, Steps 288, Epsilon 0.87
Episode 445: Reward -26.61, Steps 288, Epsilon 0.87
Episode 446: Reward -27.76, Steps 288, Epsilon 0.87
Episode 447: Reward -26.71, Steps 288, Epsilon 0.87
Episode 448: Reward -27.33, Steps 288, Epsilon 0.87
Episode 449: Reward -26.52, Steps 288, Epsilon 0.87
Episode 450: Reward -27.10, Steps 288, Epsilon 0.87
Episode 451: Reward -23.91, Steps 288, Epsilon 0.87
Episode 452: Reward -21.14, Steps 288, Epsilon 0.87
Episode 453: Reward -26.95, Steps 288, Epsilon 0.87
Episode 454: Reward -24.88, Steps 288, Epsilon 0.87
Episode 455: Reward -28.00, Steps 288, Epsilon 0.87
Episode 456: Reward -26.68, Steps 288, Epsilon 0.87
Episode 457: Reward -26.73, Steps 288, Epsilon 0.87
Episode 458: Reward -24.48, Steps 288, Epsilon 0.87
Episode 459: Reward -24.48, Steps 288, Epsilon 0.87
Episode 460: Reward -26.20, Steps 288, Epsilon 0.86
Episode 461: Reward -26.40, Steps 288, Epsilon 0.86
Episode 462: Reward -27.27, Steps 288, Epsilon 0.86
Episode 463: Reward -24.98, Steps 288, Epsilon 0.86
Episode 464: Reward -22.61, Steps 288, Epsilon 0.86
