Training Details:
Episode 387: Reward -39.89, Steps 1440, Epsilon 0.31
Episode 388: Reward -34.67, Steps 1440, Epsilon 0.31
Episode 389: Reward -36.81, Steps 1440, Epsilon 0.31
Episode 390: Reward -38.46, Steps 1440, Epsilon 0.31
Episode 391: Reward -40.08, Steps 1440, Epsilon 0.31
Episode 392: Reward -38.66, Steps 1440, Epsilon 0.31
Episode 393: Reward -37.34, Steps 1440, Epsilon 0.31
Episode 394: Reward -36.93, Steps 1440, Epsilon 0.31
Episode 395: Reward -39.61, Steps 1440, Epsilon 0.30
Episode 396: Reward -37.03, Steps 1440, Epsilon 0.30
Episode 397: Reward -36.48, Steps 1440, Epsilon 0.30
Episode 398: Reward -37.76, Steps 1440, Epsilon 0.30
Episode 399: Reward -35.86, Steps 1440, Epsilon 0.30
Episode 400: Reward -38.40, Steps 1440, Epsilon 0.30
Episode 401: Reward -36.35, Steps 1440, Epsilon 0.30
Episode 402: Reward -38.72, Steps 1440, Epsilon 0.30
Episode 403: Reward -37.67, Steps 1440, Epsilon 0.30
Episode 404: Reward -37.38, Steps 1440, Epsilon 0.30
Episode 405: Reward -37.28, Steps 1440, Epsilon 0.30
Episode 406: Reward -36.33, Steps 1440, Epsilon 0.30
Episode 407: Reward -38.09, Steps 1440, Epsilon 0.29
Episode 408: Reward -36.12, Steps 1440, Epsilon 0.29
Episode 409: Reward -38.29, Steps 1440, Epsilon 0.29
Episode 410: Reward -38.71, Steps 1440, Epsilon 0.29
Episode 411: Reward -35.52, Steps 1440, Epsilon 0.29
Episode 412: Reward -37.79, Steps 1440, Epsilon 0.29
Episode 413: Reward -36.38, Steps 1440, Epsilon 0.29
Episode 414: Reward -37.36, Steps 1440, Epsilon 0.29
Episode 415: Reward -35.90, Steps 1440, Epsilon 0.29
Episode 416: Reward -37.61, Steps 1440, Epsilon 0.29
Episode 417: Reward -38.30, Steps 1440, Epsilon 0.29
Episode 418: Reward -36.94, Steps 1440, Epsilon 0.29
Episode 419: Reward -36.81, Steps 1440, Epsilon 0.29
Episode 420: Reward -35.93, Steps 1440, Epsilon 0.28
Episode 421: Reward -37.93, Steps 1440, Epsilon 0.28
Episode 422: Reward -35.94, Steps 1440, Epsilon 0.28
Episode 423: Reward -35.73, Steps 1440, Epsilon 0.28
Episode 424: Reward -33.32, Steps 1440, Epsilon 0.28
Episode 425: Reward -31.20, Steps 1440, Epsilon 0.28
Episode 426: Reward -35.50, Steps 1440, Epsilon 0.28
Episode 427: Reward -37.07, Steps 1440, Epsilon 0.28
Episode 428: Reward -34.56, Steps 1440, Epsilon 0.28
Episode 429: Reward -35.53, Steps 1440, Epsilon 0.28
Episode 430: Reward -35.96, Steps 1440, Epsilon 0.28
Episode 431: Reward -36.04, Steps 1440, Epsilon 0.28
Episode 432: Reward -35.44, Steps 1440, Epsilon 0.28
Episode 433: Reward -34.62, Steps 1440, Epsilon 0.27
Episode 434: Reward -34.94, Steps 1440, Epsilon 0.27
