Training Details:
Episode 406: Reward -248.16, Steps 8640, Epsilon 0.30
Episode 407: Reward -248.21, Steps 8640, Epsilon 0.29
Episode 408: Reward -248.77, Steps 8640, Epsilon 0.29
Episode 409: Reward -244.27, Steps 8640, Epsilon 0.29
Episode 410: Reward -246.10, Steps 8640, Epsilon 0.29
Episode 411: Reward -249.93, Steps 8640, Epsilon 0.29
Episode 412: Reward -241.58, Steps 8640, Epsilon 0.29
Episode 413: Reward -249.21, Steps 8640, Epsilon 0.29
Episode 414: Reward -242.46, Steps 8640, Epsilon 0.29
Episode 415: Reward -251.60, Steps 8640, Epsilon 0.29
Episode 416: Reward -252.28, Steps 8640, Epsilon 0.29
Episode 417: Reward -246.81, Steps 8640, Epsilon 0.29
Episode 418: Reward -251.45, Steps 8640, Epsilon 0.29
Episode 419: Reward -250.07, Steps 8640, Epsilon 0.29
Episode 420: Reward -250.49, Steps 8640, Epsilon 0.28
Episode 421: Reward -250.99, Steps 8640, Epsilon 0.28
Episode 422: Reward -242.00, Steps 8640, Epsilon 0.28
Episode 423: Reward -247.99, Steps 8640, Epsilon 0.28
Episode 424: Reward -243.64, Steps 8640, Epsilon 0.28
Episode 425: Reward -249.41, Steps 8640, Epsilon 0.28
Episode 426: Reward -237.18, Steps 8640, Epsilon 0.28
Episode 427: Reward -249.80, Steps 8640, Epsilon 0.28
Episode 428: Reward -239.64, Steps 8640, Epsilon 0.28
Episode 429: Reward -246.40, Steps 8640, Epsilon 0.28
Episode 430: Reward -240.79, Steps 8640, Epsilon 0.28
Episode 431: Reward -240.43, Steps 8640, Epsilon 0.28
Episode 432: Reward -245.76, Steps 8640, Epsilon 0.28
Episode 433: Reward -245.47, Steps 8640, Epsilon 0.27
Episode 434: Reward -243.99, Steps 8640, Epsilon 0.27
Episode 435: Reward -247.27, Steps 8640, Epsilon 0.27
Episode 436: Reward -238.68, Steps 8640, Epsilon 0.27
Episode 437: Reward -242.87, Steps 8640, Epsilon 0.27
Episode 438: Reward -233.61, Steps 8640, Epsilon 0.27
Episode 439: Reward -244.06, Steps 8640, Epsilon 0.27
Episode 440: Reward -237.80, Steps 8640, Epsilon 0.27
Episode 441: Reward -236.91, Steps 8640, Epsilon 0.27
Episode 442: Reward -243.00, Steps 8640, Epsilon 0.27
Episode 443: Reward -242.88, Steps 8640, Epsilon 0.27
Episode 444: Reward -244.05, Steps 8640, Epsilon 0.27
Episode 445: Reward -237.85, Steps 8640, Epsilon 0.27
Episode 446: Reward -239.23, Steps 8640, Epsilon 0.26
Episode 447: Reward -240.59, Steps 8640, Epsilon 0.26
Episode 448: Reward -244.66, Steps 8640, Epsilon 0.26
Episode 449: Reward -233.68, Steps 8640, Epsilon 0.26
